source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1005 on application procedure for imprests?,It suspends normal procedures concerning application procedure for imprests.,It removes all accountability related to application procedure for imprests.,It delegates the matter entirely to private discretion.,It establishes the official rule governing application procedure for imprests.,d,FR 1005 specifically defines the official regulatory framework for application procedure for imprests.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1005 guide actions related to application procedure for imprests?",It delegates the matter entirely to private discretion.,It removes all accountability related to application procedure for imprests.,It suspends normal procedures concerning application procedure for imprests.,It establishes the official rule governing application procedure for imprests.,d,FR 1005 specifically defines the official regulatory framework for application procedure for imprests.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1005 concerning application procedure for imprests?",It establishes the official rule governing application procedure for imprests.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning application procedure for imprests.,It removes all accountability related to application procedure for imprests.,a,FR 1005 specifically defines the official regulatory framework for application procedure for imprests.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1005 on application procedure for imprests?",It suspends normal procedures concerning application procedure for imprests.,It establishes the official rule governing application procedure for imprests.,It removes all accountability related to application procedure for imprests.,It delegates the matter entirely to private discretion.,b,FR 1005 specifically defines the official regulatory framework for application procedure for imprests.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1005 in managing application procedure for imprests?",It removes all accountability related to application procedure for imprests.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning application procedure for imprests.,It establishes the official rule governing application procedure for imprests.,d,FR 1005 specifically defines the official regulatory framework for application procedure for imprests.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1006 regarding documentation and recording of imprest issuance?,It establishes the official rule governing documentation and recording of imprest issuance.,It removes all accountability related to documentation and recording of imprest issuance.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning documentation and recording of imprest issuance.,a,FR 1006 specifically defines the official regulatory framework for documentation and recording of imprest issuance.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1006 on documentation and recording of imprest issuance?,It delegates the matter entirely to private discretion.,It removes all accountability related to documentation and recording of imprest issuance.,It suspends normal procedures concerning documentation and recording of imprest issuance.,It establishes the official rule governing documentation and recording of imprest issuance.,d,FR 1006 specifically defines the official regulatory framework for documentation and recording of imprest issuance.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1006 guide actions related to documentation and recording of imprest issuance?",It suspends normal procedures concerning documentation and recording of imprest issuance.,It removes all accountability related to documentation and recording of imprest issuance.,It delegates the matter entirely to private discretion.,It establishes the official rule governing documentation and recording of imprest issuance.,d,FR 1006 specifically defines the official regulatory framework for documentation and recording of imprest issuance.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1006 concerning documentation and recording of imprest issuance?",It removes all accountability related to documentation and recording of imprest issuance.,It suspends normal procedures concerning documentation and recording of imprest issuance.,It establishes the official rule governing documentation and recording of imprest issuance.,It delegates the matter entirely to private discretion.,c,FR 1006 specifically defines the official regulatory framework for documentation and recording of imprest issuance.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1006 on documentation and recording of imprest issuance?",It removes all accountability related to documentation and recording of imprest issuance.,It establishes the official rule governing documentation and recording of imprest issuance.,It suspends normal procedures concerning documentation and recording of imprest issuance.,It delegates the matter entirely to private discretion.,b,FR 1006 specifically defines the official regulatory framework for documentation and recording of imprest issuance.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1006 in managing documentation and recording of imprest issuance?",It delegates the matter entirely to private discretion.,It removes all accountability related to documentation and recording of imprest issuance.,It establishes the official rule governing documentation and recording of imprest issuance.,It suspends normal procedures concerning documentation and recording of imprest issuance.,c,FR 1006 specifically defines the official regulatory framework for documentation and recording of imprest issuance.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1007 regarding operational procedures for imprest management?,It establishes the official rule governing operational procedures for imprest management.,It removes all accountability related to operational procedures for imprest management.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning operational procedures for imprest management.,a,FR 1007 specifically defines the official regulatory framework for operational procedures for imprest management.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1007 on operational procedures for imprest management?,It delegates the matter entirely to private discretion.,It removes all accountability related to operational procedures for imprest management.,It suspends normal procedures concerning operational procedures for imprest management.,It establishes the official rule governing operational procedures for imprest management.,d,FR 1007 specifically defines the official regulatory framework for operational procedures for imprest management.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1007 guide actions related to operational procedures for imprest management?",It suspends normal procedures concerning operational procedures for imprest management.,It establishes the official rule governing operational procedures for imprest management.,It delegates the matter entirely to private discretion.,It removes all accountability related to operational procedures for imprest management.,b,FR 1007 specifically defines the official regulatory framework for operational procedures for imprest management.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1007 concerning operational procedures for imprest management?",It suspends normal procedures concerning operational procedures for imprest management.,It removes all accountability related to operational procedures for imprest management.,It delegates the matter entirely to private discretion.,It establishes the official rule governing operational procedures for imprest management.,d,FR 1007 specifically defines the official regulatory framework for operational procedures for imprest management.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1007 on operational procedures for imprest management?",It establishes the official rule governing operational procedures for imprest management.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning operational procedures for imprest management.,It removes all accountability related to operational procedures for imprest management.,a,FR 1007 specifically defines the official regulatory framework for operational procedures for imprest management.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1007 in managing operational procedures for imprest management?",It removes all accountability related to operational procedures for imprest management.,It suspends normal procedures concerning operational procedures for imprest management.,It delegates the matter entirely to private discretion.,It establishes the official rule governing operational procedures for imprest management.,d,FR 1007 specifically defines the official regulatory framework for operational procedures for imprest management.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1008 regarding responsibilities of imprest holders?,It removes all accountability related to responsibilities of imprest holders.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning responsibilities of imprest holders.,It establishes the official rule governing responsibilities of imprest holders.,d,FR 1008 specifically defines the official regulatory framework for responsibilities of imprest holders.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1008 on responsibilities of imprest holders?,It delegates the matter entirely to private discretion.,It establishes the official rule governing responsibilities of imprest holders.,It removes all accountability related to responsibilities of imprest holders.,It suspends normal procedures concerning responsibilities of imprest holders.,b,FR 1008 specifically defines the official regulatory framework for responsibilities of imprest holders.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1008 guide actions related to responsibilities of imprest holders?",It suspends normal procedures concerning responsibilities of imprest holders.,It establishes the official rule governing responsibilities of imprest holders.,It removes all accountability related to responsibilities of imprest holders.,It delegates the matter entirely to private discretion.,b,FR 1008 specifically defines the official regulatory framework for responsibilities of imprest holders.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1008 concerning responsibilities of imprest holders?",It establishes the official rule governing responsibilities of imprest holders.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning responsibilities of imprest holders.,It removes all accountability related to responsibilities of imprest holders.,a,FR 1008 specifically defines the official regulatory framework for responsibilities of imprest holders.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1008 on responsibilities of imprest holders?",It delegates the matter entirely to private discretion.,It establishes the official rule governing responsibilities of imprest holders.,It removes all accountability related to responsibilities of imprest holders.,It suspends normal procedures concerning responsibilities of imprest holders.,b,FR 1008 specifically defines the official regulatory framework for responsibilities of imprest holders.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1008 in managing responsibilities of imprest holders?",It delegates the matter entirely to private discretion.,It establishes the official rule governing responsibilities of imprest holders.,It suspends normal procedures concerning responsibilities of imprest holders.,It removes all accountability related to responsibilities of imprest holders.,b,FR 1008 specifically defines the official regulatory framework for responsibilities of imprest holders.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1009 regarding requirement to open imprest bank account?,It suspends normal procedures concerning requirement to open imprest bank account.,It delegates the matter entirely to private discretion.,It removes all accountability related to requirement to open imprest bank account.,It establishes the official rule governing requirement to open imprest bank account.,d,FR 1009 specifically defines the official regulatory framework for requirement to open imprest bank account.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1009 on requirement to open imprest bank account?,It removes all accountability related to requirement to open imprest bank account.,It suspends normal procedures concerning requirement to open imprest bank account.,It establishes the official rule governing requirement to open imprest bank account.,It delegates the matter entirely to private discretion.,c,FR 1009 specifically defines the official regulatory framework for requirement to open imprest bank account.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1009 guide actions related to requirement to open imprest bank account?",It establishes the official rule governing requirement to open imprest bank account.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning requirement to open imprest bank account.,It removes all accountability related to requirement to open imprest bank account.,a,FR 1009 specifically defines the official regulatory framework for requirement to open imprest bank account.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1009 concerning requirement to open imprest bank account?",It removes all accountability related to requirement to open imprest bank account.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning requirement to open imprest bank account.,It establishes the official rule governing requirement to open imprest bank account.,d,FR 1009 specifically defines the official regulatory framework for requirement to open imprest bank account.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1009 on requirement to open imprest bank account?",It suspends normal procedures concerning requirement to open imprest bank account.,It delegates the matter entirely to private discretion.,It establishes the official rule governing requirement to open imprest bank account.,It removes all accountability related to requirement to open imprest bank account.,c,FR 1009 specifically defines the official regulatory framework for requirement to open imprest bank account.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1009 in managing requirement to open imprest bank account?",It suspends normal procedures concerning requirement to open imprest bank account.,It delegates the matter entirely to private discretion.,It establishes the official rule governing requirement to open imprest bank account.,It removes all accountability related to requirement to open imprest bank account.,c,FR 1009 specifically defines the official regulatory framework for requirement to open imprest bank account.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1010 regarding reimbursement and classification of imprest expenses?,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning reimbursement and classification of imprest expenses.,It removes all accountability related to reimbursement and classification of imprest expenses.,It establishes the official rule governing reimbursement and classification of imprest expenses.,d,FR 1010 specifically defines the official regulatory framework for reimbursement and classification of imprest expenses.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1010 on reimbursement and classification of imprest expenses?,It establishes the official rule governing reimbursement and classification of imprest expenses.,It removes all accountability related to reimbursement and classification of imprest expenses.,It suspends normal procedures concerning reimbursement and classification of imprest expenses.,It delegates the matter entirely to private discretion.,a,FR 1010 specifically defines the official regulatory framework for reimbursement and classification of imprest expenses.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1010 guide actions related to reimbursement and classification of imprest expenses?",It suspends normal procedures concerning reimbursement and classification of imprest expenses.,It establishes the official rule governing reimbursement and classification of imprest expenses.,It delegates the matter entirely to private discretion.,It removes all accountability related to reimbursement and classification of imprest expenses.,b,FR 1010 specifically defines the official regulatory framework for reimbursement and classification of imprest expenses.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1010 concerning reimbursement and classification of imprest expenses?",It suspends normal procedures concerning reimbursement and classification of imprest expenses.,It establishes the official rule governing reimbursement and classification of imprest expenses.,It delegates the matter entirely to private discretion.,It removes all accountability related to reimbursement and classification of imprest expenses.,b,FR 1010 specifically defines the official regulatory framework for reimbursement and classification of imprest expenses.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1010 on reimbursement and classification of imprest expenses?",It establishes the official rule governing reimbursement and classification of imprest expenses.,It removes all accountability related to reimbursement and classification of imprest expenses.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning reimbursement and classification of imprest expenses.,a,FR 1010 specifically defines the official regulatory framework for reimbursement and classification of imprest expenses.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1010 in managing reimbursement and classification of imprest expenses?",It suspends normal procedures concerning reimbursement and classification of imprest expenses.,It delegates the matter entirely to private discretion.,It establishes the official rule governing reimbursement and classification of imprest expenses.,It removes all accountability related to reimbursement and classification of imprest expenses.,c,FR 1010 specifically defines the official regulatory framework for reimbursement and classification of imprest expenses.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1011 regarding retirement of imprests?,It suspends normal procedures concerning retirement of imprests.,It establishes the official rule governing retirement of imprests.,It removes all accountability related to retirement of imprests.,It delegates the matter entirely to private discretion.,b,FR 1011 specifically defines the official regulatory framework for retirement of imprests.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1011 on retirement of imprests?,It removes all accountability related to retirement of imprests.,It establishes the official rule governing retirement of imprests.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning retirement of imprests.,b,FR 1011 specifically defines the official regulatory framework for retirement of imprests.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1011 guide actions related to retirement of imprests?",It establishes the official rule governing retirement of imprests.,It removes all accountability related to retirement of imprests.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning retirement of imprests.,a,FR 1011 specifically defines the official regulatory framework for retirement of imprests.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1011 concerning retirement of imprests?",It suspends normal procedures concerning retirement of imprests.,It delegates the matter entirely to private discretion.,It removes all accountability related to retirement of imprests.,It establishes the official rule governing retirement of imprests.,d,FR 1011 specifically defines the official regulatory framework for retirement of imprests.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1011 on retirement of imprests?",It removes all accountability related to retirement of imprests.,It suspends normal procedures concerning retirement of imprests.,It establishes the official rule governing retirement of imprests.,It delegates the matter entirely to private discretion.,c,FR 1011 specifically defines the official regulatory framework for retirement of imprests.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1011 in managing retirement of imprests?",It delegates the matter entirely to private discretion.,It suspends normal procedures concerning retirement of imprests.,It establishes the official rule governing retirement of imprests.,It removes all accountability related to retirement of imprests.,c,FR 1011 specifically defines the official regulatory framework for retirement of imprests.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1012 regarding year-end handling of imprest balances?,It suspends normal procedures concerning year-end handling of imprest balances.,It removes all accountability related to year-end handling of imprest balances.,It establishes the official rule governing year-end handling of imprest balances.,It delegates the matter entirely to private discretion.,c,FR 1012 specifically defines the official regulatory framework for year-end handling of imprest balances.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1012 on year-end handling of imprest balances?,It establishes the official rule governing year-end handling of imprest balances.,It suspends normal procedures concerning year-end handling of imprest balances.,It delegates the matter entirely to private discretion.,It removes all accountability related to year-end handling of imprest balances.,a,FR 1012 specifically defines the official regulatory framework for year-end handling of imprest balances.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1012 guide actions related to year-end handling of imprest balances?",It delegates the matter entirely to private discretion.,It establishes the official rule governing year-end handling of imprest balances.,It removes all accountability related to year-end handling of imprest balances.,It suspends normal procedures concerning year-end handling of imprest balances.,b,FR 1012 specifically defines the official regulatory framework for year-end handling of imprest balances.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1012 concerning year-end handling of imprest balances?",It delegates the matter entirely to private discretion.,It suspends normal procedures concerning year-end handling of imprest balances.,It establishes the official rule governing year-end handling of imprest balances.,It removes all accountability related to year-end handling of imprest balances.,c,FR 1012 specifically defines the official regulatory framework for year-end handling of imprest balances.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1012 on year-end handling of imprest balances?",It establishes the official rule governing year-end handling of imprest balances.,It suspends normal procedures concerning year-end handling of imprest balances.,It removes all accountability related to year-end handling of imprest balances.,It delegates the matter entirely to private discretion.,a,FR 1012 specifically defines the official regulatory framework for year-end handling of imprest balances.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1012 in managing year-end handling of imprest balances?",It delegates the matter entirely to private discretion.,It removes all accountability related to year-end handling of imprest balances.,It establishes the official rule governing year-end handling of imprest balances.,It suspends normal procedures concerning year-end handling of imprest balances.,c,FR 1012 specifically defines the official regulatory framework for year-end handling of imprest balances.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1013 regarding inspection authority over imprest accounts?,It removes all accountability related to inspection authority over imprest accounts.,It delegates the matter entirely to private discretion.,It suspends normal procedures concerning inspection authority over imprest accounts.,It establishes the official rule governing inspection authority over imprest accounts.,d,FR 1013 specifically defines the official regulatory framework for inspection authority over imprest accounts.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1013 on inspection authority over imprest accounts?,It delegates the matter entirely to private discretion.,It establishes the official rule governing inspection authority over imprest accounts.,It removes all accountability related to inspection authority over imprest accounts.,It suspends normal procedures concerning inspection authority over imprest accounts.,b,FR 1013 specifically defines the official regulatory framework for inspection authority over imprest accounts.,fr
FR_2009,08-Oct,exam,"In administrative practice, how should FR 1013 guide actions related to inspection authority over imprest accounts?",It suspends normal procedures concerning inspection authority over imprest accounts.,It delegates the matter entirely to private discretion.,It establishes the official rule governing inspection authority over imprest accounts.,It removes all accountability related to inspection authority over imprest accounts.,c,FR 1013 specifically defines the official regulatory framework for inspection authority over imprest accounts.,fr
FR_2009,Dec-14,exam,"From a senior management perspective, what duty arises under FR 1013 concerning inspection authority over imprest accounts?",It establishes the official rule governing inspection authority over imprest accounts.,It delegates the matter entirely to private discretion.,It removes all accountability related to inspection authority over imprest accounts.,It suspends normal procedures concerning inspection authority over imprest accounts.,a,FR 1013 specifically defines the official regulatory framework for inspection authority over imprest accounts.,fr
FR_2009,15-16,exam,"As a director, which decision best complies with FR 1013 on inspection authority over imprest accounts?",It delegates the matter entirely to private discretion.,It suspends normal procedures concerning inspection authority over imprest accounts.,It establishes the official rule governing inspection authority over imprest accounts.,It removes all accountability related to inspection authority over imprest accounts.,c,FR 1013 specifically defines the official regulatory framework for inspection authority over imprest accounts.,fr
FR_2009,17,exam,"At executive level, how should policy align with FR 1013 in managing inspection authority over imprest accounts?",It removes all accountability related to inspection authority over imprest accounts.,It suspends normal procedures concerning inspection authority over imprest accounts.,It establishes the official rule governing inspection authority over imprest accounts.,It delegates the matter entirely to private discretion.,c,FR 1013 specifically defines the official regulatory framework for inspection authority over imprest accounts.,fr
FR_2009,01-May,exam,What is the primary focus of FR 1014 regarding limits and frequency of standing imprests?,It suspends normal procedures concerning limits and frequency of standing imprests.,It removes all accountability related to limits and frequency of standing imprests.,It delegates the matter entirely to private discretion.,It establishes the official rule governing limits and frequency of standing imprests.,d,FR 1014 specifically defines the official regulatory framework for limits and frequency of standing imprests.,fr
FR_2009,05-Jul,exam,Which statement best explains the intent of FR 1014 on limits and frequency of standing imprests?,It suspends normal procedures concerning limits and frequency of standing imprests.,It removes all accountability related to limits and frequency of standing imprests.,It establishes the official rule governing limits and frequency of standing imprests.,It delegates the matter entirely to private discretion.,c,FR 1014 specifically defines the official regulatory framework for limits and frequency of standing imprests.,fr
