source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
FR_2009,15-16,exam,"Within a regulatory compliance evaluation, establish whether a Director assessing adherence to FR 1905 would focus on whether:",Requirement specifically mandated by FR 1905,A general administrative tradition,An informal best‑practice guideline,A discretionary internal preference,A,FR 1905 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"In the context of statutory fiscal accountability, deduce whether a ministry reviewing procedures under FR 1905 should verify that:",Requirement specifically mandated by FR 1905,An informal best‑practice guideline,A discretionary internal preference,A general administrative tradition,A,FR 1905 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"For purposes of institutional governance analysis, determine whether a Director assessing adherence to FR 1906 would focus on whether:",Requirement specifically mandated by FR 1906,A discretionary internal preference,An informal best‑practice guideline,A general administrative tradition,A,FR 1906 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"Under a strict construction of federal financial regulations, identify whether which control principle is enforced by FR 1906?",A discretionary internal preference,A general administrative tradition,An informal best‑practice guideline,Requirement specifically mandated by FR 1906,D,FR 1906 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"When interpreting administrative financial authority, deduce whether which control principle is enforced by FR 1906?",A discretionary internal preference,Requirement specifically mandated by FR 1906,A general administrative tradition,An informal best‑practice guideline,B,FR 1906 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"For purposes of institutional governance analysis, deduce whether a ministry reviewing procedures under FR 1906 should verify that:",Requirement specifically mandated by FR 1906,An informal best‑practice guideline,A general administrative tradition,A discretionary internal preference,A,FR 1906 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"Under a strict construction of federal financial regulations, evaluate whether a ministry reviewing procedures under FR 1906 should verify that:",Requirement specifically mandated by FR 1906,A general administrative tradition,A discretionary internal preference,An informal best‑practice guideline,A,FR 1906 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"In the context of statutory fiscal accountability, ascertain whether from a governance standpoint, FR 1906 mainly ensures that:",A discretionary internal preference,A general administrative tradition,Requirement specifically mandated by FR 1906,An informal best‑practice guideline,C,FR 1906 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"In the context of statutory fiscal accountability, identify whether a ministry reviewing procedures under FR 1907 should verify that:",Requirement specifically mandated by FR 1907,A general administrative tradition,An informal best‑practice guideline,A discretionary internal preference,A,FR 1907 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"Under a strict construction of federal financial regulations, ascertain whether in applying FR 1907, what is the primary compliance objective?",A general administrative tradition,Requirement specifically mandated by FR 1907,A discretionary internal preference,An informal best‑practice guideline,B,FR 1907 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"Under a strict construction of federal financial regulations, deduce whether which statement best reflects the core requirement of Financial Regulation 1907?",An informal best‑practice guideline,A general administrative tradition,A discretionary internal preference,Requirement specifically mandated by FR 1907,D,FR 1907 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"In the context of statutory fiscal accountability, identify whether from a governance standpoint, FR 1907 mainly ensures that:",An informal best‑practice guideline,Requirement specifically mandated by FR 1907,A general administrative tradition,A discretionary internal preference,B,FR 1907 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"From a public financial management control perspective, evaluate whether a ministry reviewing procedures under FR 1907 should verify that:",Requirement specifically mandated by FR 1907,A discretionary internal preference,A general administrative tradition,An informal best‑practice guideline,A,FR 1907 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"From a public financial management control perspective, establish whether which statement best reflects the core requirement of Financial Regulation 1907?",A general administrative tradition,An informal best‑practice guideline,A discretionary internal preference,Requirement specifically mandated by FR 1907,D,FR 1907 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"From a public financial management control perspective, identify whether a Director assessing adherence to FR 1908 would focus on whether:",Requirement specifically mandated by FR 1908,A general administrative tradition,A discretionary internal preference,An informal best‑practice guideline,A,FR 1908 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"When interpreting administrative financial authority, determine whether a ministry reviewing procedures under FR 1908 should verify that:",A general administrative tradition,An informal best‑practice guideline,A discretionary internal preference,Requirement specifically mandated by FR 1908,D,FR 1908 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"In the context of statutory fiscal accountability, determine whether from a governance standpoint, FR 1908 mainly ensures that:",A general administrative tradition,A discretionary internal preference,An informal best‑practice guideline,Requirement specifically mandated by FR 1908,D,FR 1908 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"From a public financial management control perspective, deduce whether a ministry reviewing procedures under FR 1908 should verify that:",A discretionary internal preference,A general administrative tradition,An informal best‑practice guideline,Requirement specifically mandated by FR 1908,D,FR 1908 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"When interpreting administrative financial authority, ascertain whether a Director assessing adherence to FR 1908 would focus on whether:",An informal best‑practice guideline,Requirement specifically mandated by FR 1908,A discretionary internal preference,A general administrative tradition,B,FR 1908 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"For purposes of institutional governance analysis, evaluate whether which statement best reflects the core requirement of Financial Regulation 1908?",A discretionary internal preference,An informal best‑practice guideline,Requirement specifically mandated by FR 1908,A general administrative tradition,C,FR 1908 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"From a public financial management control perspective, ascertain whether which control principle is enforced by FR 1909?",An informal best‑practice guideline,A general administrative tradition,Requirement specifically mandated by FR 1909,A discretionary internal preference,C,FR 1909 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"Under a strict construction of federal financial regulations, ascertain whether in applying FR 1909, what is the primary compliance objective?",A general administrative tradition,A discretionary internal preference,An informal best‑practice guideline,Requirement specifically mandated by FR 1909,D,FR 1909 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"For purposes of institutional governance analysis, determine whether which control principle is enforced by FR 1909?",A discretionary internal preference,Requirement specifically mandated by FR 1909,A general administrative tradition,An informal best‑practice guideline,B,FR 1909 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"In the context of statutory fiscal accountability, establish whether a Director assessing adherence to FR 1909 would focus on whether:",A general administrative tradition,Requirement specifically mandated by FR 1909,An informal best‑practice guideline,A discretionary internal preference,B,FR 1909 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"Within a regulatory compliance evaluation, determine whether which statement best reflects the core requirement of Financial Regulation 1909?",Requirement specifically mandated by FR 1909,A general administrative tradition,An informal best‑practice guideline,A discretionary internal preference,A,FR 1909 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"Within a regulatory compliance evaluation, determine whether which statement best reflects the core requirement of Financial Regulation 1909?",A general administrative tradition,Requirement specifically mandated by FR 1909,An informal best‑practice guideline,A discretionary internal preference,B,FR 1909 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"From a public financial management control perspective, evaluate whether which control principle is enforced by FR 1910?",An informal best‑practice guideline,A discretionary internal preference,A general administrative tradition,Requirement specifically mandated by FR 1910,D,FR 1910 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"In the context of statutory fiscal accountability, ascertain whether from a governance standpoint, FR 1910 mainly ensures that:",A discretionary internal preference,An informal best‑practice guideline,A general administrative tradition,Requirement specifically mandated by FR 1910,D,FR 1910 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"In the context of statutory fiscal accountability, deduce whether a ministry reviewing procedures under FR 1910 should verify that:",An informal best‑practice guideline,A general administrative tradition,A discretionary internal preference,Requirement specifically mandated by FR 1910,D,FR 1910 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"From a public financial management control perspective, identify whether which statement best reflects the core requirement of Financial Regulation 1910?",A discretionary internal preference,A general administrative tradition,An informal best‑practice guideline,Requirement specifically mandated by FR 1910,D,FR 1910 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"From a public financial management control perspective, evaluate whether a ministry reviewing procedures under FR 1910 should verify that:",Requirement specifically mandated by FR 1910,A general administrative tradition,A discretionary internal preference,An informal best‑practice guideline,A,FR 1910 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"Under a strict construction of federal financial regulations, ascertain whether in applying FR 1910, what is the primary compliance objective?",An informal best‑practice guideline,Requirement specifically mandated by FR 1910,A general administrative tradition,A discretionary internal preference,B,FR 1910 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"Under a strict construction of federal financial regulations, establish whether which statement best reflects the core requirement of Financial Regulation 1911?",An informal best‑practice guideline,A general administrative tradition,A discretionary internal preference,Requirement specifically mandated by FR 1911,D,FR 1911 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"In the context of statutory fiscal accountability, ascertain whether which control principle is enforced by FR 1911?",Requirement specifically mandated by FR 1911,An informal best‑practice guideline,A discretionary internal preference,A general administrative tradition,A,FR 1911 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"Within a regulatory compliance evaluation, deduce whether a ministry reviewing procedures under FR 1911 should verify that:",An informal best‑practice guideline,A discretionary internal preference,Requirement specifically mandated by FR 1911,A general administrative tradition,C,FR 1911 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"Within a regulatory compliance evaluation, determine whether a Director assessing adherence to FR 1911 would focus on whether:",A discretionary internal preference,An informal best‑practice guideline,A general administrative tradition,Requirement specifically mandated by FR 1911,D,FR 1911 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"Under a strict construction of federal financial regulations, determine whether a ministry reviewing procedures under FR 1911 should verify that:",A discretionary internal preference,An informal best‑practice guideline,Requirement specifically mandated by FR 1911,A general administrative tradition,C,FR 1911 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"Under a strict construction of federal financial regulations, ascertain whether which control principle is enforced by FR 1911?",A discretionary internal preference,An informal best‑practice guideline,A general administrative tradition,Requirement specifically mandated by FR 1911,D,FR 1911 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"When interpreting administrative financial authority, ascertain whether from a governance standpoint, FR 1912 mainly ensures that:",A discretionary internal preference,Requirement specifically mandated by FR 1912,An informal best‑practice guideline,A general administrative tradition,B,FR 1912 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"From a public financial management control perspective, deduce whether from a governance standpoint, FR 1912 mainly ensures that:",A general administrative tradition,Requirement specifically mandated by FR 1912,A discretionary internal preference,An informal best‑practice guideline,B,FR 1912 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"When interpreting administrative financial authority, ascertain whether from a governance standpoint, FR 1912 mainly ensures that:",A discretionary internal preference,Requirement specifically mandated by FR 1912,An informal best‑practice guideline,A general administrative tradition,B,FR 1912 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"From a public financial management control perspective, deduce whether a Director assessing adherence to FR 1912 would focus on whether:",A general administrative tradition,Requirement specifically mandated by FR 1912,A discretionary internal preference,An informal best‑practice guideline,B,FR 1912 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"When interpreting administrative financial authority, deduce whether which control principle is enforced by FR 1912?",An informal best‑practice guideline,Requirement specifically mandated by FR 1912,A general administrative tradition,A discretionary internal preference,B,FR 1912 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"From a public financial management control perspective, deduce whether in applying FR 1912, what is the primary compliance objective?",An informal best‑practice guideline,Requirement specifically mandated by FR 1912,A discretionary internal preference,A general administrative tradition,B,FR 1912 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"From a public financial management control perspective, identify whether from a governance standpoint, FR 1913 mainly ensures that:",An informal best‑practice guideline,A discretionary internal preference,A general administrative tradition,Requirement specifically mandated by FR 1913,D,FR 1913 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"Within a regulatory compliance evaluation, establish whether which statement best reflects the core requirement of Financial Regulation 1913?",An informal best‑practice guideline,A discretionary internal preference,Requirement specifically mandated by FR 1913,A general administrative tradition,C,FR 1913 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"For purposes of institutional governance analysis, identify whether from a governance standpoint, FR 1913 mainly ensures that:",A discretionary internal preference,An informal best‑practice guideline,A general administrative tradition,Requirement specifically mandated by FR 1913,D,FR 1913 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"Under a strict construction of federal financial regulations, determine whether a ministry reviewing procedures under FR 1913 should verify that:",Requirement specifically mandated by FR 1913,A general administrative tradition,A discretionary internal preference,An informal best‑practice guideline,A,FR 1913 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"In the context of statutory fiscal accountability, identify whether which control principle is enforced by FR 1913?",A discretionary internal preference,Requirement specifically mandated by FR 1913,An informal best‑practice guideline,A general administrative tradition,B,FR 1913 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"Under a strict construction of federal financial regulations, identify whether which control principle is enforced by FR 1913?",An informal best‑practice guideline,A general administrative tradition,Requirement specifically mandated by FR 1913,A discretionary internal preference,C,FR 1913 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"When interpreting administrative financial authority, deduce whether from a governance standpoint, FR 1914 mainly ensures that:",Requirement specifically mandated by FR 1914,A discretionary internal preference,An informal best‑practice guideline,A general administrative tradition,A,FR 1914 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"When interpreting administrative financial authority, ascertain whether which control principle is enforced by FR 1914?",An informal best‑practice guideline,A general administrative tradition,Requirement specifically mandated by FR 1914,A discretionary internal preference,C,FR 1914 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"Under a strict construction of federal financial regulations, ascertain whether a Director assessing adherence to FR 1914 would focus on whether:",An informal best‑practice guideline,A discretionary internal preference,Requirement specifically mandated by FR 1914,A general administrative tradition,C,FR 1914 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"From a public financial management control perspective, identify whether which statement best reflects the core requirement of Financial Regulation 1914?",A general administrative tradition,A discretionary internal preference,An informal best‑practice guideline,Requirement specifically mandated by FR 1914,D,FR 1914 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"In the context of statutory fiscal accountability, ascertain whether which statement best reflects the core requirement of Financial Regulation 1914?",A general administrative tradition,An informal best‑practice guideline,A discretionary internal preference,Requirement specifically mandated by FR 1914,D,FR 1914 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"From a public financial management control perspective, ascertain whether a Director assessing adherence to FR 1914 would focus on whether:",A discretionary internal preference,An informal best‑practice guideline,Requirement specifically mandated by FR 1914,A general administrative tradition,C,FR 1914 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"Within a regulatory compliance evaluation, ascertain whether which control principle is enforced by FR 1915?",A general administrative tradition,An informal best‑practice guideline,Requirement specifically mandated by FR 1915,A discretionary internal preference,C,FR 1915 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"Within a regulatory compliance evaluation, ascertain whether in applying FR 1915, what is the primary compliance objective?",An informal best‑practice guideline,A general administrative tradition,Requirement specifically mandated by FR 1915,A discretionary internal preference,C,FR 1915 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"For purposes of institutional governance analysis, determine whether from a governance standpoint, FR 1915 mainly ensures that:",Requirement specifically mandated by FR 1915,A general administrative tradition,An informal best‑practice guideline,A discretionary internal preference,A,FR 1915 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"Within a regulatory compliance evaluation, ascertain whether from a governance standpoint, FR 1915 mainly ensures that:",A discretionary internal preference,An informal best‑practice guideline,Requirement specifically mandated by FR 1915,A general administrative tradition,C,FR 1915 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"In the context of statutory fiscal accountability, evaluate whether which control principle is enforced by FR 1915?",An informal best‑practice guideline,A general administrative tradition,A discretionary internal preference,Requirement specifically mandated by FR 1915,D,FR 1915 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"Within a regulatory compliance evaluation, determine whether which statement best reflects the core requirement of Financial Regulation 1915?",Requirement specifically mandated by FR 1915,A general administrative tradition,An informal best‑practice guideline,A discretionary internal preference,A,FR 1915 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,1-5,exam,"Under a strict construction of federal financial regulations, determine whether in applying FR 1916, what is the primary compliance objective?",A general administrative tradition,A discretionary internal preference,An informal best‑practice guideline,Requirement specifically mandated by FR 1916,D,FR 1916 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,5-7,exam,"Within a regulatory compliance evaluation, evaluate whether a Director assessing adherence to FR 1916 would focus on whether:",A discretionary internal preference,A general administrative tradition,Requirement specifically mandated by FR 1916,An informal best‑practice guideline,C,FR 1916 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,8-10,exam,"From a public financial management control perspective, determine whether which control principle is enforced by FR 1916?",A discretionary internal preference,A general administrative tradition,An informal best‑practice guideline,Requirement specifically mandated by FR 1916,D,FR 1916 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,12-14,exam,"For purposes of institutional governance analysis, evaluate whether in applying FR 1916, what is the primary compliance objective?",A general administrative tradition,An informal best‑practice guideline,A discretionary internal preference,Requirement specifically mandated by FR 1916,D,FR 1916 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,15-16,exam,"When interpreting administrative financial authority, identify whether in applying FR 1916, what is the primary compliance objective?",Requirement specifically mandated by FR 1916,An informal best‑practice guideline,A discretionary internal preference,A general administrative tradition,A,FR 1916 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
FR_2009,17,exam,"From a public financial management control perspective, evaluate whether which statement best reflects the core requirement of Financial Regulation 1916?",A general administrative tradition,Requirement specifically mandated by FR 1916,A discretionary internal preference,An informal best‑practice guideline,B,FR 1916 explicitly establishes this requirement; alternatives describe practices not mandated by the regulation.,fr
