source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,8-10,exam,A probation extension without guidance leads to:,Repeated performance failure,Automatic improvement,Instant confirmation,Transfer success,A,Guidance is needed for improvement.,psr
PSR 2021,8-10,exam,Interdiction preserves administrative justice by:,Separating investigation from punishment,Merging both processes,Ignoring evidence,Accelerating dismissal,A,Justice requires procedural separation.,psr
PSR 2021,8-10,exam,An effective hierarchy ensures:,Clear reporting channels,Equal authority for all,Reduced accountability,Flexible discipline,A,Clear channels improve coordination.,psr
PSR 2021,8-10,exam,Suspension protects evidence by:,Limiting officer access,Increasing supervision,Expanding authority,Reducing training,A,Access restriction prevents tampering.,psr
PSR 2021,8-10,exam,Workforce planning succeeds when probation outcomes are:,Integrated into staffing decisions,Ignored completely,Delayed indefinitely,Politically influenced,A,Results guide staffing strategy.,psr
PSR 2021,8-10,exam,Confirmation should follow a process that is:,Transparent and consistent,Secretive and flexible,Politically negotiated,Informal,A,Consistency ensures fairness.,psr
PSR 2021,8-10,exam,Administrative continuity reduces risk of:,Operational disruption,Training overload,Salary increase,Office relocation,A,Continuity stabilizes operations.,psr
PSR 2021,8-10,exam,Interdiction effectiveness depends on:,Impartial investigation,Immediate dismissal,Public silence,Extended suspension,A,Impartiality ensures credibility.,psr
PSR 2021,8-10,exam,A manager reviewing probation outcomes should primarily consider:,Sustained performance trends,Officer age,Office location,Length of commute,A,Trends provide reliable performance insight.,psr
PSR 2021,8-10,exam,Suspension decisions should be documented to:,Ensure accountability and review,Increase bureaucracy unnecessarily,Delay investigation,Reduce communication,A,Documentation supports transparency.,psr
PSR 2021,8-10,exam,An established workforce structure improves:,Long-term strategic planning,Short-term experimentation,External contracting,Temporary hiring,A,Stable staffing supports strategy.,psr
PSR 2021,8-10,exam,Premature confirmation may lead to:,Institutional inefficiency,Immediate stability,Automatic productivity,Reduced training,A,Unsuitable staff weaken performance.,psr
PSR 2021,8-10,exam,Interdiction requires management to balance:,Fairness and organizational protection,Speed and secrecy,Authority and popularity,Cost and training,A,Both fairness and protection are essential.,psr
PSR 2021,8-10,exam,A Permanent Secretary strengthens execution by:,Coordinating interdepartmental functions,Centralizing all decisions personally,Reducing officer input,Limiting oversight,A,Coordination improves delivery.,psr
PSR 2021,8-10,exam,Effective probation feedback should be:,Timely and specific,Delayed and general,Informal and verbal,Confidential only,A,Specific feedback drives improvement.,psr
PSR 2021,8-10,exam,Interdicted officers should receive updates to:,Maintain procedural transparency,Reduce morale intentionally,Accelerate dismissal,Limit cooperation,A,Transparency encourages cooperation.,psr
PSR 2021,8-10,exam,Administrative inefficiency often results from:,Ambiguous authority lines,Strict supervision,Clear policies,Structured planning,A,Ambiguity causes delays.,psr
PSR 2021,8-10,exam,Suspension is lifted when:,Investigations conclude fairly,Public opinion changes,Salary is restored,Training ends,A,Conclusion of inquiry determines outcome.,psr
PSR 2021,8-10,exam,Confirmation policies should emphasize:,Merit-based evaluation,Personal relationships,External pressure,Speed over accuracy,A,Merit ensures quality workforce.,psr
PSR 2021,8-10,exam,Established posts support institutional memory by:,Retaining experienced staff,Encouraging turnover,Reducing tenure,Limiting training,A,Experience preserves knowledge.,psr
PSR 2021,8-10,exam,A probation review committee should operate with:,Objective performance criteria,Political guidance,Personal discretion,Informal judgment,A,Objectivity ensures fairness.,psr
PSR 2021,8-10,exam,Interdiction safeguards investigations by:,Separating duties from influence,Merging roles with authority,Expanding officer control,Reducing oversight,A,Duty separation prevents bias.,psr
PSR 2021,8-10,exam,A strong hierarchy contributes to:,Efficient decision escalation,Equal authority distribution,Reduced supervision,Flexible discipline,A,Clear escalation improves responsiveness.,psr
PSR 2021,8-10,exam,Suspension should minimize:,Risk to investigative integrity,Administrative workload,Salary expenses,Training time,A,Integrity protection is priority.,psr
PSR 2021,8-10,exam,Workforce planning improves when management uses:,Probation data strategically,Random staffing choices,Political recommendations,External pressure,A,Data-driven planning is effective.,psr
PSR 2021,8-10,exam,Confirmation transparency builds:,Organizational trust,Salary increases,Office competition,Training delays,A,Trust arises from fairness.,psr
PSR 2021,8-10,exam,Administrative stability reduces:,Operational uncertainty,Training quality,Officer autonomy,Strategic planning,A,Stability minimizes disruption.,psr
PSR 2021,8-10,exam,Interdiction credibility depends on:,Impartial and timely action,Lengthy delays,Public secrecy,Salary reduction,A,Timely impartiality maintains confidence.,psr
