source,level,mode,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,question_type
PSR 2021,12-14,exam,Senior officers must evaluate confirmation cases using:,Documented performance evidence,Personal opinion,External influence,Time served only,A,Evidence ensures fairness.,psr
PSR 2021,12-14,exam,Failure to act on misconduct undermines:,Organizational discipline,Training schedules,Salary structures,Office design,A,Inaction weakens discipline.,psr
PSR 2021,12-14,exam,Senior leadership ensures PSR compliance by:,Monitoring enforcement systems,Reducing reporting,Delegating blindly,Avoiding review,A,Monitoring maintains standards.,psr
PSR 2021,12-14,exam,Interdiction oversight at senior level requires:,Impartial supervision,Immediate punishment,Public announcement,Salary reduction,A,Impartiality preserves fairness.,psr
PSR 2021,12-14,exam,Strategic workforce decisions should be guided by:,Performance-based assessments,Political alignment,External pressure,Random allocation,A,Performance drives strategy.,psr
PSR 2021,12-14,exam,A senior officer reviewing a disciplinary file must first verify:,Procedural compliance with PSR,Public opinion,Salary records only,Political implications,A,Procedure compliance ensures lawful action.,psr
PSR 2021,12-14,exam,"When enforcing suspension, senior leadership should prioritize:",Protection of institutional integrity,Speed of punishment,Public image alone,Cost savings,A,Integrity protection is paramount.,psr
PSR 2021,12-14,exam,An effective senior manager prevents favoritism by:,Applying uniform evaluation standards,Delegating decisions privately,Reducing documentation,Limiting transparency,A,Uniform standards prevent bias.,psr
PSR 2021,12-14,exam,Failure to document confirmation decisions may lead to:,Accountability gaps,Increased efficiency,Faster promotions,Reduced supervision,A,Documentation supports traceability.,psr
PSR 2021,12-14,exam,A senior officer must intervene when probation oversight is weak to:,Maintain service quality,Avoid conflict,Reduce workload,Delay reporting,A,Quality control is a leadership duty.,psr
PSR 2021,12-14,exam,Leadership credibility increases when disciplinary actions are:,Consistent and evidence-based,Selective and informal,Politically influenced,Confidential without records,A,Evidence-based actions build trust.,psr
PSR 2021,12-14,exam,A ministry’s governance culture is shaped largely by:,Senior leadership behavior,Temporary staffing levels,Office infrastructure,Travel allowances,A,Leadership sets institutional tone.,psr
PSR 2021,12-14,exam,"When reviewing interdiction, senior officers must confirm:",Investigation fairness,Salary reduction adequacy,Public awareness level,Media response,A,Fairness ensures legitimacy.,psr
PSR 2021,12-14,exam,Ignoring early misconduct signals can cause:,Systemic discipline breakdown,Immediate reform,Reduced staffing needs,Faster confirmations,A,Unchecked misconduct spreads.,psr
PSR 2021,12-14,exam,Senior officers should align probation outcomes with:,Strategic workforce goals,Political demands,External pressure,Random allocation,A,Alignment supports planning.,psr
PSR 2021,12-14,exam,Effective governance requires senior managers to:,Audit enforcement processes,Reduce supervision,Centralize secrecy,Delegate blindly,A,Auditing maintains standards.,psr
PSR 2021,12-14,exam,A poorly managed suspension case may damage:,Institutional reputation,Salary budgets only,Office equipment,Training schedules,A,Reputation depends on fairness.,psr
PSR 2021,12-14,exam,Senior officers maintain fairness by:,Separating personal interest from decisions,Delegating sensitive cases,Avoiding documentation,Reducing communication,A,Objectivity is essential.,psr
PSR 2021,12-14,exam,Probation mismanagement at senior level threatens:,Long-term service efficiency,Immediate promotion cycles,Salary uniformity,Office logistics,A,Efficiency declines with poor oversight.,psr
PSR 2021,12-14,exam,An accountable leader ensures disciplinary reviews are:,Timely and impartial,Delayed intentionally,Confidential without records,Politically guided,A,Timeliness preserves justice.,psr
PSR 2021,12-14,exam,Senior management planning must integrate:,Reliable personnel evaluations,External influence,Political negotiation,Informal judgment,A,Evaluations inform strategy.,psr
PSR 2021,12-14,exam,"When enforcement is inconsistent, senior officers should:",Standardize procedures immediately,Ignore minor gaps,Delay corrective action,Delegate externally,A,Standardization restores order.,psr
PSR 2021,12-14,exam,Effective leadership prevents abuse of authority through:,Structured accountability systems,Personal discretion only,Reduced reporting,External mediation,A,Systems limit misuse.,psr
PSR 2021,12-14,exam,Senior review of confirmation cases must emphasize:,Institutional benefit over personal interest,Speed alone,Political approval,External reputation,A,Institutional interest comes first.,psr
PSR 2021,12-14,exam,Governance stability improves when senior officers:,Model transparent decision-making,Limit communication,Reduce supervision,Avoid documentation,A,Transparency strengthens stability.,psr
PSR 2021,12-14,exam,A senior officer who tolerates procedural shortcuts risks:,Eroding institutional discipline,Improving efficiency automatically,Reducing supervision needs,Increasing morale temporarily,A,Shortcuts weaken rule culture.,psr
PSR 2021,12-14,exam,Effective confirmation oversight ensures:,Retention of competent officers,Automatic promotion for all,Reduced accountability,Informal staffing,A,Competence strengthens institutions.,psr
PSR 2021,12-14,exam,Senior leadership should treat similar disciplinary cases with:,Consistent standards,Flexible favoritism,Political consideration,Personal judgment,A,Consistency ensures fairness.,psr
PSR 2021,12-14,exam,An undocumented suspension decision creates:,Accountability vulnerability,Faster investigation,Higher morale,Reduced paperwork,A,Lack of records weakens review.,psr
PSR 2021,12-14,exam,A ministry with weak senior oversight may experience:,Governance instability,Immediate cost savings,Automatic reform,Faster promotions,A,Oversight prevents instability.,psr
PSR 2021,12-14,exam,Senior officers reinforce ethical culture by:,Demonstrating rule compliance,Delegating ethics entirely,Avoiding supervision,Reducing reporting,A,Behavior sets ethical tone.,psr
PSR 2021,12-14,exam,Interdiction reviews should focus on:,Evidence sufficiency,Public opinion,Salary impact,Media attention,A,Evidence guides fairness.,psr
PSR 2021,12-14,exam,Ignoring documentation requirements weakens:,Institutional accountability,Salary structure,Office logistics,Training quality,A,Documentation ensures traceability.,psr
PSR 2021,12-14,exam,Senior managers must resolve disciplinary delays to:,Preserve procedural justice,Avoid publicity,Reduce costs,Increase authority,A,Justice depends on timeliness.,psr
PSR 2021,12-14,exam,Effective leadership planning integrates:,Reliable performance metrics,Personal preferences,External pressure,Random selection,A,Metrics inform strategy.,psr
PSR 2021,12-14,exam,A senior officer failing to enforce PSR consistently risks:,Loss of organizational trust,Immediate efficiency gain,Faster promotions,Reduced supervision,A,Trust erodes without consistency.,psr
PSR 2021,12-14,exam,Transparent disciplinary systems enhance:,Institutional credibility,Salary growth,Office aesthetics,Training speed,A,Transparency builds credibility.,psr
PSR 2021,12-14,exam,Confirmation oversight should align with:,Long-term service objectives,Short-term popularity,External pressure,Personal interest,A,Objectives guide staffing quality.,psr
PSR 2021,12-14,exam,Senior management must prevent bias by:,Using structured evaluation criteria,Relying on personal judgment,Avoiding documentation,Delegating blindly,A,Structure reduces bias.,psr
PSR 2021,12-14,exam,Failure to audit disciplinary actions may result in:,Systemic procedural weakness,Immediate reform,Increased morale,Faster training,A,Audits maintain standards.,psr
PSR 2021,12-14,exam,Institutional resilience improves when leaders:,Enforce rules uniformly,Adapt rules arbitrarily,Avoid oversight,Reduce transparency,A,Uniform enforcement strengthens resilience.,psr
PSR 2021,12-14,exam,A senior officer must escalate unresolved misconduct to:,Appropriate authority promptly,Ignore minor issues,Delay reporting indefinitely,Delegate externally,A,Escalation ensures accountability.,psr
PSR 2021,12-14,exam,Governance integrity depends heavily on:,Leadership consistency,Temporary staffing,Office equipment,Travel allowances,A,Consistency stabilizes governance.,psr
PSR 2021,12-14,exam,Structured reporting systems enable senior managers to:,Monitor compliance effectively,Reduce communication,Increase secrecy,Limit supervision,A,Monitoring supports enforcement.,psr
PSR 2021,12-14,exam,A culture of fairness is sustained when senior officers:,Model impartial decision-making,Avoid difficult cases,Delegate ethics externally,Reduce documentation,A,Impartiality sustains fairness.,psr
